data_entrada_brasil;data_cadastro;dif_dtcad_dtingr_meses;sexo;fx_etaria;pais_origem;distrito_moradia;condicoes_moradia;cidade_ingresso;cor_raca;escolaridade;situacao_migratoria;fonte_renda;sabendo_crai;demanda_1
14/03/2016;04/04/2016;0;Feminino;30 a 39 anos;Angola;Bom Retiro;Centro de Acolhida;Não informado;Preta;Ensino médio completo;Solicitante de refúgio;Não informado;Não informado;Não informado
19/03/2016;04/04/2016;0;Feminino;30 a 39 anos;Angola;República;Sem moradia;Não informado;Preta;Ensino médio completo;Solicitante de refúgio;Não informado;Não informado;Não informado
28/03/2016;04/04/2016;0;Feminino;30 a 39 anos;Angola;Bom Retiro;Sem moradia;Não informado;Preta;Ensino superior completo;Solicitante de refúgio;Não informado;Não informado;Não informado
29/03/2016;04/04/2016;0;Masculino;30 a 39 anos;Angola;Bela Vista;Sem moradia;Não informado;Preta;Ensino médio completo;Solicitante de refúgio;Não informado;Não informado;Não informado
01/04/2016;05/04/2016;0;Feminino;18 a 29 anos;Angola;Vila Mariana;Centro de Acolhida;Não informado;Preta;Ensino superior completo;Solicitante de refúgio;Não informado;Não informado;Não informado
07/03/2016;05/04/2016;0;Masculino;18 a 29 anos;Angola;Artur Alvim;Aluguel ou pensão;Não informado;Preta;Ensino médio completo;Solicitante de refúgio;Não informado;Não informado;Não informado
25/03/2016;05/04/2016;0;Feminino;30 a 39 anos;Angola;Bom Retiro;Centro de Acolhida;Não informado;Preta;Ensino médio completo;Solicitante de refúgio;Não informado;Não informado;Não informado
11/03/2016;05/04/2016;0;Feminino;40 a 49 anos;Angola;Brás;Aluguel ou pensão;Não informado;Preta;Ensino médio completo;Solicitante de refúgio;Não informado;Não informado;Não informado
31/03/2016;05/04/2016;0;Masculino;40 a 49 anos;Angola;Santana;Ocupação;Não informado;Preta;Ensino médio incompleto;Solicitante de refúgio;Não informado;Não informado;Não informado
23/01/2016;05/04/2016;2;Feminino;12 a 17 anos;Angola;Vila Maria;Aluguel ou pensão;Não informado;Preta;Outros;Solicitante de refúgio;Não informado;Não informado;Não informado
26/10/2015;05/04/2016;5;Feminino;30 a 39 anos;Angola;Vila Maria;Aluguel ou pensão;Não informado;Preta;Ensino superior incompleto;Visto permanente;Não informado;Não informado;Não informado
01/04/2016;06/04/2016;0;Masculino;12 a 17 anos;Angola;Cangaíba;Aluguel ou pensão;Não informado;Preta;Ensino fundamental completo;Solicitante de refúgio;Não informado;Não informado;Não informado
01/04/2016;06/04/2016;0;Feminino;12 a 17 anos;Angola;Cangaíba;Aluguel ou pensão;Não informado;Preta;Ensino fundamental incompleto;Solicitante de refúgio;Não informado;Não informado;Não informado
01/04/2016;06/04/2016;0;Masculino;12 a 17 anos;Angola;Cangaíba;Aluguel ou pensão;Não informado;Preta;Não frequentou escola;Solicitante de refúgio;Não informado;Não informado;Não informado
22/03/2016;06/04/2016;0;Feminino;18 a 29 anos;Angola;Pari;Centro de Acolhida;Não informado;Preta;Ensino superior completo;Solicitante de refúgio;Não informado;Não informado;Não informado
03/04/2016;06/04/2016;0;Feminino;18 a 29 anos;Angola;Santana;Aluguel ou pensão;Não informado;Preta;Ensino médio completo;Solicitante de refúgio;Não informado;Não informado;Não informado
22/03/2016;06/04/2016;0;Masculino;30 a 39 anos;Angola;José Bonifácio;Outros;Não informado;Preta;Ensino superior completo;Solicitante de refúgio;Não informado;Não informado;Não informado
01/04/2016;06/04/2016;0;Masculino;30 a 39 anos;Angola;Bela Vista;Aluguel ou pensão;Não informado;Preta;Ensino médio incompleto;Solicitante de refúgio;Não informado;Não informado;Não informado
01/04/2016;06/04/2016;0;Masculino;30 a 39 anos;Angola;Bela Vista;Sem moradia;Não informado;Preta;Ensino médio incompleto;Solicitante de refúgio;Não informado;Não informado;Não informado
01/04/2016;06/04/2016;0;Masculino;30 a 39 anos;Angola;Bela Vista;Sem moradia;Não informado;Preta;Ensino médio completo;Solicitante de refúgio;Não informado;Não informado;Não informado
01/04/2016;06/04/2016;0;Feminino;30 a 39 anos;Angola;Cangaíba;Aluguel ou pensão;Não informado;Preta;Ensino fundamental completo;Solicitante de refúgio;Não informado;Não informado;Não informado
01/04/2016;06/04/2016;0;Masculino;40 a 49 anos;Angola;Cangaíba;Aluguel ou pensão;Não informado;Preta;Ensino fundamental completo;Solicitante de refúgio;Não informado;Não informado;Não informado
05/03/2016;06/04/2016;1;Masculino;30 a 39 anos;Angola;Bela Vista;Centro de Acolhida;Não informado;Preta;Ensino médio completo;Solicitante de refúgio;Não informado;Não informado;Não informado
30/12/2015;06/04/2016;3;Feminino;30 a 39 anos;Angola;Penha;Centro de Acolhida;Não informado;Preta;Ensino fundamental completo;Solicitante de refúgio;Não informado;Não informado;Não informado
03/04/2016;07/04/2016;0;Feminino;12 a 17 anos;Angola;Santana;Aluguel ou pensão;Não informado;Preta;Não frequentou escola;Solicitante de refúgio;Não informado;Não informado;Não informado
04/04/2016;07/04/2016;0;Masculino;30 a 39 anos;Angola;Bela Vista;Sem moradia;Não informado;Preta;Ensino médio completo;Indocumentado/ Irregular;Não informado;Não informado;Não informado
31/03/2016;08/04/2016;0;Feminino;30 a 39 anos;Angola;Santana;Ocupação;Não informado;Preta;Ensino médio completo;Solicitante de refúgio;Não informado;Não informado;Não informado
01/04/2016;11/04/2016;0;Feminino;18 a 29 anos;Angola;Santo Amaro;Centro de Acolhida;Não informado;Preta;Ensino médio incompleto;Solicitante de refúgio;Não informado;Não informado;Não informado
04/04/2016;11/04/2016;0;Masculino;18 a 29 anos;Angola;República;Aluguel ou pensão;Não informado;Preta;Ensino médio completo;Solicitante de refúgio;Não informado;Não informado;Não informado
04/04/2016;11/04/2016;0;Masculino;18 a 29 anos;Angola;República;Aluguel ou pensão;Não informado;Preta;Ensino médio completo;Solicitante de refúgio;Não informado;Não informado;Não informado
09/04/2016;11/04/2016;0;Feminino;18 a 29 anos;Angola;Outro Município;Sem moradia;Não informado;Preta;Ensino médio incompleto;Solicitante de refúgio;Não informado;Não informado;Não informado
04/04/2016;11/04/2016;0;Feminino;30 a 39 anos;Angola;República;Aluguel ou pensão;Não informado;Preta;Ensino médio completo;Solicitante de refúgio;Não informado;Não informado;Não informado
04/04/2016;11/04/2016;0;Masculino;30 a 39 anos;Angola;Bela Vista;Aluguel ou pensão;Não informado;Preta;Ensino médio completo;Solicitante de refúgio;Não informado;Não informado;Não informado
05/04/2016;11/04/2016;0;Masculino;30 a 39 anos;Angola;Bela Vista;Outros;Não informado;Preta;Ensino médio completo;Solicitante de refúgio;Não informado;Não informado;Não informado
05/04/2016;11/04/2016;0;Feminino;30 a 39 anos;Angola;Bela Vista;Outros;Não informado;Preta;Ensino médio completo;Solicitante de refúgio;Não informado;Não informado;Não informado
08/04/2016;11/04/2016;0;Masculino;30 a 39 anos;Angola;Bela Vista;Sem moradia;Não informado;Preta;Ensino médio completo;Solicitante de refúgio;Não informado;Não informado;Não informado
14/03/2016;11/04/2016;0;Feminino;40 a 49 anos;Angola;Outro Município;Sem moradia;Não informado;Preta;Ensino médio incompleto;Solicitante de refúgio;Não informado;Não informado;Não informado
17/03/2016;11/04/2016;0;Masculino;40 a 49 anos;Angola;Artur Alvim;Aluguel ou pensão;Não informado;Preta;Ensino médio completo;Solicitante de refúgio;Não informado;Não informado;Não informado
03/04/2016;11/04/2016;0;Masculino;40 a 49 anos;Angola;Artur Alvim;Aluguel ou pensão;Não informado;Preta;Ensino médio completo;Solicitante de refúgio;Não informado;Não informado;Não informado
07/04/2016;11/04/2016;0;Masculino;40 a 49 anos;Angola;Outro Município;Sem moradia;Não informado;Preta;Ensino médio completo;Solicitante de refúgio;Não informado;Não informado;Não informado
17/02/2016;11/04/2016;1;Masculino;40 a 49 anos;Angola;José Bonifácio;Aluguel ou pensão;Não informado;Preta;Ensino médio completo;Outros;Não informado;Não informado;Não informado
10/10/2015;11/04/2016;6;Masculino;12 a 17 anos;Angola;José Bonifácio;Aluguel ou pensão;Não informado;Preta;Ensino fundamental incompleto;Outros;Não informado;Não informado;Não informado
10/10/2015;11/04/2016;6;Masculino;12 a 17 anos;Angola;José Bonifácio;Aluguel ou pensão;Não informado;Preta;Ensino fundamental incompleto;Outros;Não informado;Não informado;Não informado
10/10/2015;11/04/2016;6;Feminino;12 a 17 anos;Angola;José Bonifácio;Aluguel ou pensão;Não informado;Preta;Não frequentou escola;Outros;Não informado;Não informado;Não informado
10/10/2015;11/04/2016;6;Feminino;12 a 17 anos;Angola;José Bonifácio;Aluguel ou pensão;Não informado;Preta;Ensino fundamental incompleto;Outros;Não informado;Não informado;Não informado
10/10/2015;11/04/2016;6;Feminino;12 a 17 anos;Angola;José Bonifácio;Aluguel ou pensão;Não informado;Preta;Ensino fundamental incompleto;Outros;Não informado;Não informado;Não informado
10/10/2015;11/04/2016;6;Feminino;30 a 39 anos;Angola;José Bonifácio;Aluguel ou pensão;Não informado;Preta;Ensino fundamental incompleto;Outros;Não informado;Não informado;Não informado
09/04/2016;12/04/2016;0;Masculino;18 a 29 anos;Angola;Outro Município;Sem moradia;Não informado;Preta;Ensino médio completo;Solicitante de refúgio;Não informado;Não informado;Não informado
31/03/2016;12/04/2016;0;Feminino;18 a 29 anos;Angola;Bela Vista;Sem moradia;Não informado;Preta;Ensino médio completo;Solicitante de refúgio;Não informado;Não informado;Não informado
31/03/2016;13/04/2016;0;Masculino;18 a 29 anos;Angola;Itaquera;Sem moradia;Não informado;Preta;Ensino médio completo;Solicitante de refúgio;Não informado;Não informado;Não informado
08/04/2016;13/04/2016;0;Masculino;18 a 29 anos;Angola;Bela Vista;Sem moradia;Não informado;Preta;Ensino médio incompleto;Solicitante de refúgio;Não informado;Não informado;Não informado
04/04/2016;13/04/2016;0;Masculino;30 a 39 anos;Angola;Itaquera;Sem moradia;Não informado;Preta;Ensino médio completo;Solicitante de refúgio;Não informado;Não informado;Não informado
01/04/2016;13/04/2016;0;Masculino;40 a 49 anos;Angola;Bela Vista;Sem moradia;Não informado;Preta;Ensino médio completo;Solicitante de refúgio;Não informado;Não informado;Não informado
23/03/2016;13/04/2016;0;Masculino;40 a 49 anos;Angola;Itaquera;Sem moradia;Não informado;Preta;Ensino médio completo;Solicitante de refúgio;Não informado;Não informado;Não informado
31/01/2016;13/04/2016;2;Feminino;12 a 17 anos;Angola;Pari;Centro de Acolhida;Não informado;Preta;Ensino fundamental incompleto;Solicitante de refúgio;Não informado;Não informado;Não informado
11/07/1999;13/04/2016;201;Masculino;50 a 59 anos;Angola;Belém;Aluguel ou pensão;Não informado;Preta;Ensino superior completo;Visto permanente;Não informado;Não informado;Documentos
04/04/2016;13/04/2016;0;Masculino;30 a 39 anos;Angola;Bela Vista;Sem moradia;Não informado;Preta;Ensino médio completo;Solicitante de refúgio;Não informado;Não informado;Documentos
20/07/2013;13/04/2016;32;Masculino;40 a 49 anos;Angola;Itaquera;Aluguel ou pensão;Não informado;Preta;Ensino médio completo;Refugiado;Não informado;Não informado;Documentos
11/04/2016;13/04/2016;0;Masculino;30 a 39 anos;Angola;Brás;Hotel;Não informado;Preta;Ensino médio incompleto;Solicitante de refúgio;Não informado;Não informado;Regularização migratória
11/04/2016;13/04/2016;0;Feminino;18 a 29 anos;Angola;Brás;Hotel;Não informado;Preta;Ensino médio incompleto;Solicitante de refúgio;Não informado;Não informado;Regularização migratória
11/04/2016;13/04/2016;0;Feminino;12 a 17 anos;Angola;Brás;Hotel;Não informado;Preta;Ensino fundamental incompleto;Solicitante de refúgio;Não informado;Não informado;Regularização migratória
09/04/2016;14/04/2016;0;Masculino;18 a 29 anos;Angola;Bela Vista;Sem moradia;Não informado;Preta;Ensino médio completo;Solicitante de refúgio;Não informado;Não informado;Não informado
13/04/2016;14/04/2016;0;Masculino;18 a 29 anos;Angola;Bela Vista;Sem moradia;Não informado;Preta;Ensino médio completo;Solicitante de refúgio;Não informado;Não informado;Não informado
27/03/2016;14/04/2016;0;Feminino;30 a 39 anos;Angola;Bela Vista;Centro de Acolhida;Não informado;Preta;Ensino médio completo;Solicitante de refúgio;Não informado;Não informado;Não informado
12/04/2016;14/04/2016;0;Masculino;30 a 39 anos;Angola;Bela Vista;Sem moradia;Não informado;Preta;Ensino superior completo;Solicitante de refúgio;Não informado;Não informado;Não informado
31/03/2016;18/04/2016;0;Feminino;12 a 17 anos;Angola;Santana;Outros;Não informado;Preta;Ensino médio incompleto;Solicitante de refúgio;Não informado;Não informado;Não informado
31/03/2016;18/04/2016;0;Feminino;18 a 29 anos;Angola;Santana;Outros;Não informado;Preta;Ensino médio incompleto;Solicitante de refúgio;Não informado;Não informado;Não informado
13/04/2016;18/04/2016;0;Feminino;18 a 29 anos;Angola;Bela Vista;Sem moradia;Não informado;Preta;Ensino médio incompleto;Solicitante de refúgio;Não informado;Não informado;Não informado
12/04/2016;18/04/2016;0;Masculino;30 a 39 anos;Angola;Bela Vista;Sem moradia;Não informado;Preta;Ensino médio incompleto;Solicitante de refúgio;Não informado;Não informado;Não informado
13/04/2016;18/04/2016;0;Masculino;30 a 39 anos;Angola;Bela Vista;Sem moradia;Não informado;Preta;Ensino médio incompleto;Solicitante de refúgio;Não informado;Não informado;Não informado
15/04/2016;19/04/2016;0;Feminino;18 a 29 anos;Angola;Bela Vista;Sem moradia;Não informado;Preta;Ensino médio incompleto;Solicitante de refúgio;Não informado;Não informado;Não informado
16/04/2016;19/04/2016;0;Masculino;18 a 29 anos;Angola;Bela Vista;Sem moradia;Não informado;Preta;Ensino superior incompleto;Solicitante de refúgio;Não informado;Não informado;Não informado
15/04/2016;19/04/2016;0;Masculino;30 a 39 anos;Angola;Santana;Outros;Não informado;Preta;Ensino médio completo;Solicitante de refúgio;Não informado;Não informado;Não informado
04/04/2016;19/04/2016;0;Masculino;30 a 39 anos;Angola;Penha;Outros;Não informado;Preta;Ensino médio completo;Solicitante de refúgio;Não informado;Não informado;Não informado
16/04/2016;19/04/2016;0;Feminino;40 a 49 anos;Angola;Bela Vista;Sem moradia;Não informado;Preta;Ensino superior incompleto;Solicitante de refúgio;Não informado;Não informado;Não informado
01/03/2014;19/04/2016;25;Feminino;18 a 29 anos;Angola;Moóca;Aluguel ou pensão;Não informado;Preta;Ensino superior incompleto;Indocumentado/ Irregular;Não informado;Não informado;Não informado
18/04/2016;19/04/2016;0;Feminino;18 a 29 anos;Angola;Belém;Aluguel ou pensão;Não informado;Preta;Ensino médio incompleto;Refugiado;Não informado;Não informado;Regularização migratória
18/04/2016;20/04/2016;0;Masculino;30 a 39 anos;Angola;Vila Matilde;Aluguel ou pensão;Não informado;Preta;Ensino médio completo;Refugiado;Não informado;Não informado;Regularização migratória
09/04/2016;20/04/2016;0;Masculino;18 a 29 anos;Angola;Liberdade;Centro de Acolhida;Não informado;Preta;Ensino superior completo;Solicitante de refúgio;Não informado;Não informado;Documentos
24/12/1989;20/04/2016;315;Masculino;40 a 49 anos;Angola;Itaim Paulista;Casa própria;Não informado;Preta;Ensino superior incompleto;Refugiado;Não informado;Não informado;Regularização migratória
17/03/2016;20/04/2016;1;Masculino;18 a 29 anos;Angola;Liberdade;Centro de Acolhida;Não informado;Preta;Ensino médio completo;Solicitante de refúgio;Não informado;Não informado;Reinserção no mercado de trabalho
10/04/2016;20/04/2016;0;Masculino;18 a 29 anos;Angola;Bela Vista;Sem moradia;Não informado;Preta;Ensino médio completo;Solicitante de refúgio;Não informado;Não informado;Documentos
13/04/2016;20/04/2016;0;Masculino;30 a 39 anos;Angola;Bela Vista;Sem moradia;Não informado;Preta;Ensino médio completo;Solicitante de refúgio;Não informado;Não informado;Documentos
15/04/2016;22/04/2016;0;Feminino;18 a 29 anos;Angola;Bela Vista;Centro de Acolhida;Não informado;Preta;Ensino médio completo;Solicitante de refúgio;Não informado;Não informado;Documentos
27/03/2016;22/04/2016;0;Feminino;30 a 39 anos;Angola;Bela Vista;Centro de Acolhida;Não informado;Preta;Ensino superior completo;Solicitante de refúgio;Não informado;Não informado;Documentos
01/04/2016;22/04/2016;0;Masculino;30 a 39 anos;Angola;Bela Vista;Sem moradia;Não informado;Preta;Ensino médio completo;Solicitante de refúgio;Não informado;Não informado;Reinserção no mercado de trabalho
01/04/2016;22/04/2016;0;Masculino;40 a 49 anos;Angola;Bela Vista;Sem moradia;Não informado;Preta;Ensino médio completo;Solicitante de refúgio;Não informado;Não informado;Reinserção no mercado de trabalho
26/03/2016;22/04/2016;0;Masculino;30 a 39 anos;Angola;Liberdade;Centro de Acolhida;Não informado;Preta;Ensino médio completo;Solicitante de refúgio;Não informado;Não informado;Reinserção no mercado de trabalho
18/04/2016;25/04/2016;0;Feminino;12 a 17 anos;Angola;Santana;Sem moradia;Não informado;Preta;Não frequentou escola;Solicitante de refúgio;Não informado;Não informado;Não informado
18/04/2016;25/04/2016;0;Masculino;18 a 29 anos;Angola;Pari;Sem moradia;Não informado;Preta;Ensino médio completo;Solicitante de refúgio;Não informado;Não informado;Não informado
21/04/2016;25/04/2016;0;Masculino;18 a 29 anos;Angola;Brás;Centro de Acolhida;Não informado;Preta;Ensino médio incompleto;Solicitante de refúgio;Não informado;Não informado;Não informado
14/04/2016;25/04/2016;0;Feminino;30 a 39 anos;Angola;Belém;Sem moradia;Não informado;Preta;Ensino médio completo;Solicitante de refúgio;Não informado;Não informado;Não informado
19/03/2016;25/04/2016;1;Feminino;30 a 39 anos;Angola;Santo Amaro;Centro de Acolhida;Não informado;Preta;Ensino médio completo;Solicitante de refúgio;Não informado;Não informado;Reinserção no mercado de trabalho
21/04/2016;25/04/2016;0;Masculino;18 a 29 anos;Angola;Cangaíba;Aluguel ou pensão;Não informado;Preta;Ensino superior completo;Solicitante de refúgio;Não informado;Não informado;Documentos
21/04/2016;25/04/2016;0;Feminino;18 a 29 anos;Angola;Cangaíba;Aluguel ou pensão;Não informado;Preta;Ensino médio incompleto;Solicitante de refúgio;Não informado;Não informado;Regularização migratória
07/04/2016;25/04/2016;0;Feminino;30 a 39 anos;Angola;Butantã;Aluguel ou pensão;Não informado;Preta;Ensino médio completo;Solicitante de refúgio;Não informado;Não informado;Regularização migratória
22/04/2016;26/04/2016;0;Masculino;18 a 29 anos;Angola;Cangaíba;Aluguel ou pensão;Não informado;Preta;Ensino médio completo;Solicitante de refúgio;Não informado;Não informado;Não informado
22/04/2016;26/04/2016;0;Masculino;18 a 29 anos;Angola;Bela Vista;Aluguel ou pensão;Não informado;Preta;Ensino médio completo;Solicitante de refúgio;Não informado;Não informado;Não informado
21/04/2016;26/04/2016;0;Masculino;30 a 39 anos;Angola;Bela Vista;Sem moradia;Não informado;Preta;Ensino médio completo;Solicitante de refúgio;Não informado;Não informado;Não informado
21/04/2016;26/04/2016;0;Feminino;30 a 39 anos;Angola;Belém;Centro de Acolhida;Não informado;Preta;Ensino médio completo;Solicitante de refúgio;Não informado;Não informado;Não informado
21/04/2016;26/04/2016;0;Masculino;30 a 39 anos;Angola;Penha;Aluguel ou pensão;Não informado;Preta;Ensino médio completo;Solicitante de refúgio;Não informado;Não informado;Não informado
21/04/2016;26/04/2016;0;Masculino;40 a 49 anos;Angola;Pari;Sem moradia;Não informado;Preta;Ensino médio completo;Solicitante de refúgio;Não informado;Não informado;Não informado
08/12/2010;26/04/2016;64;Feminino;18 a 29 anos;Angola;Bela Vista;Aluguel ou pensão;Não informado;Preta;Ensino superior incompleto;Visto permanente;Não informado;Não informado;Não informado
20/04/2016;27/04/2016;0;Feminino;18 a 29 anos;Angola;Bela Vista;Sem moradia;Não informado;Preta;Ensino médio incompleto;Solicitante de refúgio;Não informado;Não informado;Não informado
08/04/2016;27/04/2016;0;Feminino;30 a 39 anos;Angola;Itaquera;Sem moradia;Não informado;Preta;Ensino médio completo;Solicitante de refúgio;Não informado;Não informado;Não informado
20/04/2016;27/04/2016;0;Masculino;30 a 39 anos;Angola;Bela Vista;Sem moradia;Não informado;Preta;Ensino médio incompleto;Solicitante de refúgio;Não informado;Não informado;Não informado
23/03/2016;27/04/2016;1;Masculino;40 a 49 anos;Angola;Santa Cecília;Centro de Acolhida;Não informado;Preta;Ensino médio completo;Solicitante de refúgio;Não informado;Não informado;Não informado
15/04/2015;27/04/2016;12;Masculino;30 a 39 anos;Angola;Itaquera;Aluguel ou pensão;Não informado;Preta;Ensino médio completo;Solicitante de refúgio;Não informado;Não informado;Não informado
27/04/2016;28/04/2016;0;Masculino;18 a 29 anos;Angola;Santana;Ocupação;Não informado;Preta;Ensino médio completo;Solicitante de refúgio;Não informado;Não informado;Regularização migratória
19/04/2016;28/04/2016;0;Masculino;40 a 49 anos;Angola;Santana;Ocupação;Não informado;Preta;Ensino médio incompleto;Solicitante de refúgio;Não informado;Não informado;Regularização migratória
29/04/2016;01/05/2016;0;Feminino;40 a 49 anos;Angola;República;Outros;Não informado;Preta;Pós-graduação;Solicitante de refúgio;Não informado;Não informado;Não informado
27/04/2016;02/05/2016;0;Masculino;30 a 39 anos;Angola;Bela Vista;Sem moradia;Não informado;Preta;Ensino médio incompleto;Solicitante de refúgio;Não informado;Não informado;Regularização migratória
27/04/2016;02/05/2016;0;Masculino;30 a 39 anos;Angola;Bela Vista;Sem moradia;Não informado;Preta;Ensino médio incompleto;Solicitante de refúgio;Não informado;Não informado;Regularização migratória
27/04/2016;02/05/2016;0;Masculino;30 a 39 anos;Angola;Bela Vista;Sem moradia;Não informado;Preta;Ensino médio incompleto;Solicitante de refúgio;Não informado;Não informado;Regularização migratória
27/04/2016;02/05/2016;0;Masculino;40 a 49 anos;Angola;Brás;Igreja ou Instituição religiosa;Não informado;Preta;Ensino médio completo;Solicitante de refúgio;Não informado;Não informado;Regularização migratória
27/04/2016;02/05/2016;0;Feminino;40 a 49 anos;Angola;Brás;Igreja ou Instituição religiosa;Não informado;Preta;Ensino médio incompleto;Solicitante de refúgio;Não informado;Não informado;Regularização migratória
27/03/2016;02/05/2016;1;Feminino;18 a 29 anos;Angola;Ermelino Matarazzo;Casa de parente ou amigo;Não informado;Preta;Ensino médio completo;Visto de turismo;Não informado;Não informado;Documentos
27/03/2016;02/05/2016;1;Masculino;30 a 39 anos;Angola;Ermelino Matarazzo;Casa de parente ou amigo;Não informado;Preta;Ensino médio completo;Visto de turismo;Não informado;Não informado;Regularização migratória
27/04/2016;02/05/2016;0;Masculino;18 a 29 anos;Angola;Bela Vista;Sem moradia;Não informado;Preta;Ensino médio completo;Solicitante de refúgio;Não informado;Não informado;Regularização migratória
22/03/2016;02/05/2016;1;Masculino;18 a 29 anos;Angola;Liberdade;Centro de Acolhida;Não informado;Preta;Ensino médio completo;Solicitante de refúgio;Não informado;Não informado;Reinserção no mercado de trabalho
19/05/2016;02/05/2016;Incongruencia;Masculino;18 a 29 anos;Angola;Liberdade;Centro de Acolhida;Não informado;Preta;Ensino médio completo;Solicitante de refúgio;Não informado;Não informado;Reinserção no mercado de trabalho
29/04/2016;02/05/2016;0;Masculino;30 a 39 anos;Angola;Bela Vista;Sem moradia;Não informado;Preta;Ensino médio completo;Solicitante de refúgio;Não informado;Não informado;Regularização migratória
27/04/2016;02/05/2016;0;Feminino;30 a 39 anos;Angola;Bela Vista;Centro de Acolhida;Não informado;Preta;Ensino superior completo;Solicitante de refúgio;Não informado;Não informado;Regularização migratória
21/04/2016;03/05/2016;0;Masculino;30 a 39 anos;Angola;Bela Vista;Sem moradia;Não informado;Preta;Ensino médio completo;Solicitante de refúgio;Não informado;Não informado;Documentos
27/04/2016;03/05/2016;0;Masculino;18 a 29 anos;Angola;Liberdade;Centro de Acolhida;Não informado;Preta;Ensino médio completo;Solicitante de refúgio;Não informado;Não informado;Documentos
29/04/2016;04/05/2016;0;Feminino;18 a 29 anos;Angola;Bela Vista;Sem moradia;Não informado;Preta;Ensino médio incompleto;Solicitante de refúgio;Não informado;Não informado;Regularização migratória
21/01/2016;04/05/2016;3;Feminino;30 a 39 anos;Angola;Bela Vista;Centro de Acolhida;Não informado;Preta;Ensino médio incompleto;Solicitante de refúgio;Não informado;Não informado;Documentos
08/04/2016;04/05/2016;0;Feminino;30 a 39 anos;Angola;Vila Maria;Aluguel ou pensão;Não informado;Preta;Ensino médio completo;Solicitante de refúgio;Não informado;Não informado;Resgate de trabalho escravo
22/04/2016;05/05/2016;0;Feminino;30 a 39 anos;Angola;Bela Vista;Centro de Acolhida;Não informado;Preta;Ensino médio incompleto;Solicitante de refúgio;Não informado;Não informado;Não informado
19/02/2016;05/05/2016;2;Feminino;18 a 29 anos;Angola;Artur Alvim;Aluguel ou pensão;Não informado;Preta;Ensino superior completo;Solicitante de refúgio;Não informado;Não informado;Regularização migratória
27/12/2015;05/05/2016;4;Masculino;30 a 39 anos;Angola;Artur Alvim;Aluguel ou pensão;Não informado;Preta;Ensino médio completo;Solicitante de refúgio;Não informado;Não informado;Regularização migratória
13/03/2015;05/05/2016;13;Masculino;12 a 17 anos;Angola;Pari;Centro de Acolhida;Não informado;Preta;Ensino médio incompleto;Indocumentado/ Irregular;Não informado;Não informado;Regularização migratória
12/10/2015;05/05/2016;6;Feminino;30 a 39 anos;Angola;Jardim Helena;Aluguel ou pensão;Não informado;Preta;Ensino médio completo;Indocumentado/ Irregular;Não informado;Não informado;Documentos
26/04/2016;05/05/2016;0;Feminino;30 a 39 anos;Angola;Penha;Aluguel ou pensão;Não informado;Preta;Ensino médio incompleto;Solicitante de refúgio;Não informado;Não informado;Regularização migratória
25/04/2016;09/05/2016;0;Feminino;18 a 29 anos;Angola;Santo Amaro;Centro de Acolhida;Não informado;Preta;Ensino médio incompleto;Refugiado;Não informado;Não informado;Não informado
29/04/2016;09/05/2016;0;Masculino;50 a 59 anos;Angola;República;Sem moradia;Não informado;Preta;Ensino médio completo;Refugiado;Não informado;Não informado;Não informado
22/04/2016;09/05/2016;0;Masculino;30 a 39 anos;Angola;Bela Vista;Centro de Acolhida;Não informado;Preta;Ensino fundamental completo;Solicitante de refúgio;Não informado;Não informado;Documentos
25/02/2016;09/05/2016;2;Feminino;30 a 39 anos;Angola;Santo Amaro;Centro de Acolhida;Não informado;Preta;Ensino fundamental incompleto;Solicitante de refúgio;Não informado;Não informado;Regularização migratória
05/04/2016;09/05/2016;1;Masculino;30 a 39 anos;Angola;Bela Vista;Centro de Acolhida;Não informado;Preta;Ensino fundamental incompleto;Solicitante de refúgio;Não informado;Não informado;Documentos
02/05/2016;09/05/2016;0;Feminino;18 a 29 anos;Angola;Artur Alvim;Aluguel ou pensão;Não informado;Preta;Ensino médio completo;Solicitante de refúgio;Não informado;Não informado;Regularização migratória
02/05/2016;09/05/2016;0;Masculino;18 a 29 anos;Angola;Pari;Centro de Acolhida;Não informado;Preta;Ensino médio completo;Solicitante de refúgio;Não informado;Não informado;Regularização migratória
15/01/2016;11/05/2016;3;Feminino;18 a 29 anos;Angola;Liberdade;Centro de Acolhida;Não informado;Preta;Ensino médio completo;Solicitante de refúgio;Não informado;Não informado;Serviços de assistência social
06/05/2016;11/05/2016;0;Masculino;40 a 49 anos;Angola;República;Igreja ou Instituição religiosa;Não informado;Preta;Ensino médio completo;Visto de turismo;Não informado;Não informado;Documentos
06/05/2016;11/05/2016;0;Feminino;18 a 29 anos;Angola;República;Igreja ou Instituição religiosa;Não informado;Preta;Ensino médio completo;Solicitante de refúgio;Não informado;Não informado;Documentos
15/04/2015;12/05/2016;12;Masculino;30 a 39 anos;Angola;Itaquera;Aluguel ou pensão;Não informado;Preta;Ensino médio completo;Solicitante de refúgio;Não informado;Não informado;Documentos
09/05/2016;12/05/2016;0;Masculino;18 a 29 anos;Angola;Santana;Casa de parente ou amigo;Não informado;Preta;Ensino superior completo;Solicitante de refúgio;Não informado;Não informado;Regularização migratória
